Time;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
00:10:04;0.00;127.33;146.83;0.00;165.64;0.00;0.00;0.00;0.00
00:20:05;0.00;159.70;120.37;0.00;153.86;0.00;0.00;0.00;0.00
00:30:06;0.00;115.54;125.67;0.00;151.47;0.00;0.00;0.00;0.00
00:40:06;0.00;142.27;120.97;0.00;146.85;0.00;0.00;0.00;0.00
00:50:07;0.00;163.76;151.72;0.00;177.70;0.00;0.00;0.00;0.00
01:00:08;0.00;117.05;144.50;0.00;160.29;0.00;0.00;0.00;0.00
01:10:08;0.00;115.19;134.77;0.00;161.44;0.00;0.00;0.00;0.00
01:20:09;0.00;159.33;124.58;0.00;151.99;0.00;0.00;0.00;0.00
01:30:09;0.00;116.22;127.52;0.00;155.97;0.00;0.00;0.00;0.00
01:40:00;0.00;107.53;112.49;0.00;141.66;0.00;0.00;0.00;0.00
01:50:01;0.00;151.73;124.15;0.00;157.37;0.00;0.00;0.00;0.00
02:00:01;0.00;123.34;146.56;0.00;160.79;0.00;0.00;0.00;0.00
02:10:02;0.00;121.49;126.08;0.00;154.92;0.00;0.00;0.00;0.00
02:20:03;0.00;155.44;119.20;0.00;155.27;0.00;0.00;0.00;0.00
02:30:03;0.00;114.20;161.71;0.00;189.94;0.00;0.00;0.00;0.00
02:40:04;0.00;113.50;110.59;0.00;142.34;0.00;0.00;0.00;0.00
02:50:04;0.00;157.03;134.32;0.00;160.24;0.00;0.00;0.00;0.00
03:00:05;0.00;116.56;141.50;0.00;158.50;0.00;0.00;0.00;0.00
03:10:06;0.00;119.50;128.03;0.00;156.35;0.00;0.00;0.00;0.00
03:20:06;0.00;160.31;122.53;0.00;152.20;0.00;0.00;0.00;0.00
03:30:07;0.00;135.36;157.62;0.11;177.73;0.00;0.00;0.00;0.00
03:40:08;0.00;118.91;117.97;0.00;145.41;0.00;0.00;0.00;0.00
03:50:08;0.00;154.16;129.79;0.00;156.31;0.00;0.00;0.00;0.00
04:00:09;0.00;119.97;141.07;0.00;157.13;0.00;0.00;0.00;0.00
04:10:09;0.00;125.29;128.44;0.00;153.75;0.00;0.00;0.00;0.00
04:20:00;0.00;155.57;123.31;0.00;170.23;0.00;0.00;0.00;0.00
04:30:01;0.00;107.04;126.98;0.00;152.60;0.00;0.00;0.00;0.00
04:40:01;0.00;113.83;111.70;0.00;146.49;0.00;0.00;0.00;0.00
04:50:02;0.00;159.06;138.02;0.00;158.82;0.00;0.00;0.00;0.00
05:00:03;0.00;120.62;138.90;0.00;158.66;0.00;0.00;0.00;0.00
05:10:03;0.00;116.27;121.23;0.00;150.37;0.00;0.00;0.00;0.00
05:20:04;0.00;163.90;125.31;0.00;156.27;0.00;0.00;0.00;0.00
05:30:04;0.00;114.78;168.36;0.00;182.93;0.00;0.00;0.00;0.00
05:40:05;0.00;112.89;119.43;0.00;144.03;0.00;0.00;0.00;0.00
05:50:06;0.00;152.94;122.82;0.00;152.09;0.00;0.00;0.00;0.00
06:00:06;0.00;120.33;141.54;0.00;168.19;0.00;0.00;0.00;0.00
06:10:07;0.00;111.28;127.78;0.00;153.39;0.00;0.00;0.00;0.00
06:20:08;0.00;159.89;117.41;0.00;152.93;0.00;0.00;0.00;0.00
06:30:08;0.00;111.01;124.80;0.00;151.95;0.00;0.00;0.00;0.00
06:40:09;0.00;117.50;120.08;0.00;148.62;0.00;0.00;0.00;0.00
06:50:09;0.00;155.03;131.86;0.00;156.62;0.00;0.00;0.00;0.00
07:00:00;0.00;113.20;140.10;0.00;157.51;0.00;0.00;0.00;0.00
07:10:00;0.00;117.75;131.96;0.00;155.08;0.00;0.00;0.00;0.00
07:20:01;0.00;149.98;120.65;0.00;156.42;0.00;0.00;0.00;0.00
07:30:02;0.00;91.41;124.10;0.00;149.34;0.00;0.00;0.00;0.00
07:40:01;0.00;94.48;116.50;0.00;145.53;0.00;0.00;0.00;0.00
07:50:03;0.00;144.63;118.90;0.00;164.68;0.00;0.00;0.00;0.00
08:00:04;0.00;95.41;141.69;0.00;161.07;0.00;0.00;0.00;0.00
08:10:02;0.00;127.23;131.39;0.00;155.12;0.00;0.00;0.00;0.00
08:20:02;0.00;195.15;118.73;0.00;155.88;0.00;0.00;0.00;0.00
08:30:03;0.00;131.96;152.84;0.00;179.69;0.00;0.00;0.00;0.00
08:40:06;0.00;136.23;111.19;0.00;144.09;0.00;0.00;0.00;0.00
08:50:03;0.00;160.60;139.78;0.00;161.20;0.00;0.00;0.00;0.00
09:00:04;0.00;128.86;143.62;0.00;158.33;0.00;0.00;0.00;0.00
09:10:04;0.00;112.41;126.08;0.00;152.65;0.00;0.00;0.00;0.00
09:20:05;2.49;519.49;701.27;0.00;887.39;0.00;0.00;0.00;0.00
Average:;0.04;137.90;140.68;0.00;170.25;0.00;0.00;0.00;0.00
09:50:01;366.95;5386.84;3034.02;0.33;5701.71;0.00;0.00;0.00;0.00
10:00:01;202.39;1424.54;2216.57;0.01;1246.79;0.00;0.00;0.00;0.00
10:10:01;0.31;1406.88;245.41;0.00;243.93;0.00;0.00;0.00;0.00
10:20:00;0.01;136.78;121.40;0.00;137.59;0.00;0.00;0.00;0.00
10:30:00;25.17;232.26;1161.22;0.03;1169.80;0.00;0.00;0.00;0.00
10:40:00;2.54;376.65;1091.69;0.00;735.79;0.00;0.00;0.00;0.00
10:50:10;0.51;201.71;851.50;0.00;295.57;0.00;0.00;0.00;0.00
11:00:10;170.48;266.64;1303.38;0.04;964.68;0.00;0.00;0.00;0.00
11:10:00;3.41;235.23;809.78;0.01;974.28;0.00;0.00;0.00;0.00
11:20:00;0.02;215.27;353.67;0.00;803.73;0.00;0.00;0.00;0.00
11:30:00;15.19;453.81;1560.10;0.01;1291.81;0.00;0.00;0.00;0.00
11:40:00;22.68;281.48;1125.04;0.18;833.95;0.00;0.00;0.00;0.00
11:50:06;93.15;251.15;245.27;0.01;249.44;0.00;0.00;0.00;0.00
12:00:06;0.00;205.97;154.60;0.00;189.73;0.00;0.00;0.00;0.00
12:10:00;0.03;185.76;147.00;0.00;173.94;0.00;0.00;0.00;0.00
12:20:00;0.00;244.19;145.72;0.00;189.33;0.00;0.00;0.00;0.00
12:30:00;0.00;240.02;135.79;0.00;169.22;0.00;0.00;0.00;0.00
12:40:00;0.00;192.33;134.18;0.00;174.14;0.00;0.00;0.00;0.00
12:50:08;0.05;252.13;185.13;0.00;199.73;0.00;0.00;0.00;0.00
13:00:09;50.38;231.28;886.47;0.32;1112.62;0.00;0.00;0.00;0.00
13:10:09;6.05;456.70;1845.51;0.00;1571.38;0.00;0.00;0.00;0.00
13:20:10;1.13;375.76;847.90;0.00;1098.56;0.00;0.00;0.00;0.00
13:30:10;0.45;265.35;407.73;0.00;765.11;0.00;0.00;0.00;0.00
13:40:10;3.81;425.89;737.61;0.00;755.29;0.00;0.00;0.00;0.00
13:50:10;0.24;414.64;551.81;0.00;607.10;0.00;0.00;0.00;0.00
14:00:10;0.43;364.72;463.32;0.00;583.46;0.00;0.00;0.00;0.00
14:10:00;0.45;366.48;607.37;0.00;586.86;0.00;0.00;0.00;0.00
14:20:00;0.89;356.99;708.27;0.00;667.67;0.00;0.00;0.00;0.00
14:30:00;0.49;396.29;462.79;0.00;551.27;0.00;0.00;0.00;0.00
14:40:00;0.23;351.01;413.05;0.00;497.05;0.00;0.00;0.00;0.00
14:50:10;0.29;379.17;503.27;0.00;572.87;0.00;0.00;0.00;0.00
15:00:10;0.47;344.13;451.83;0.00;523.57;0.00;0.00;0.00;0.00
15:10:00;0.75;394.06;679.95;0.00;609.63;0.00;0.00;0.00;0.00
15:20:00;0.59;369.31;716.60;0.00;638.41;0.00;0.00;0.00;0.00
15:30:20;133.99;533.19;3116.25;0.74;2541.28;0.00;0.00;0.00;0.00
15:40:17;0.42;342.19;1137.81;0.00;1149.45;0.00;0.00;0.00;0.00
15:50:00;0.06;253.38;226.84;0.00;292.16;0.00;0.00;0.00;0.00
16:00:00;0.01;175.43;133.37;0.00;158.56;0.00;0.00;0.00;0.00
16:10:00;0.15;188.59;255.78;0.00;227.11;0.00;0.00;0.00;0.00
16:20:00;0.76;312.53;551.75;0.00;487.57;0.00;0.00;0.00;0.00
16:30:00;0.15;216.03;142.39;0.00;163.15;0.00;0.00;0.00;0.00
16:40:00;0.14;219.25;139.76;0.00;161.40;0.00;0.00;0.00;0.00
16:50:20;0.19;269.86;197.40;0.00;198.55;0.00;0.00;0.00;0.00
17:00:20;0.13;216.66;135.10;0.00;153.42;0.00;0.00;0.00;0.00
17:10:00;0.15;225.50;167.18;0.00;194.42;0.00;0.00;0.00;0.00
17:20:00;0.17;264.91;149.82;0.00;178.84;0.00;0.00;0.00;0.00
17:30:00;0.15;213.38;132.81;0.00;155.63;0.00;0.00;0.00;0.00
17:40:00;0.16;216.06;146.77;0.00;173.06;0.00;0.00;0.00;0.00
17:50:30;0.20;258.54;221.75;0.00;220.56;0.00;0.00;0.00;0.00
18:00:00;0.15;213.25;133.04;0.00;160.79;0.00;0.00;0.00;0.00
18:10:00;0.17;222.47;146.69;0.00;171.10;0.00;0.00;0.00;0.00
18:20:00;0.13;264.21;138.59;0.00;174.99;0.00;0.00;0.00;0.00
18:30:00;0.19;230.52;135.82;0.00;162.05;0.00;0.00;0.00;0.00
18:40:00;2.80;307.84;1828.14;0.00;1640.44;0.00;0.00;0.00;0.00
18:50:10;5.25;422.88;1442.58;0.01;1115.37;0.00;0.00;0.00;0.00
19:00:10;0.00;188.77;128.65;0.00;139.90;0.00;0.00;0.00;0.00
19:10:00;0.01;195.14;138.68;0.00;147.41;0.00;0.00;0.00;0.00
19:20:00;0.00;246.08;143.65;0.00;161.22;0.00;0.00;0.00;0.00
19:30:00;0.00;187.13;121.11;0.00;135.20;0.00;0.00;0.00;0.00
19:40:00;116.70;215.19;384.43;0.04;718.30;0.00;0.00;0.00;0.00
19:50:18;79.93;810.18;4039.09;0.43;5168.31;0.00;0.00;0.00;0.00
20:00:10;68.75;667.92;2535.26;0.41;2167.33;0.00;0.00;0.00;0.00
20:10:00;1.41;499.96;1385.82;0.01;1056.79;0.00;0.00;0.00;0.00
20:20:10;0.68;294.14;937.16;0.00;408.92;0.00;0.00;0.00;0.00
20:30:10;8.61;474.20;2851.54;0.01;1955.88;0.00;0.00;0.00;0.00
20:40:10;5.23;298.93;2316.35;0.03;2515.84;0.00;0.00;0.00;0.00
20:50:10;230.95;570.10;1933.31;0.10;1970.90;0.00;0.00;0.00;0.00
21:00:10;1.19;341.23;1649.18;0.00;1636.54;0.00;0.00;0.00;0.00
21:10:00;38.84;238.78;676.04;0.48;704.63;0.00;0.00;0.00;0.00
21:20:00;15.12;304.53;1292.05;0.00;1620.06;0.00;0.00;0.00;0.00
21:30:00;2.58;257.21;1585.42;0.01;2111.58;0.00;0.00;0.00;0.00
21:40:00;0.07;289.35;645.55;0.00;725.21;0.00;0.00;0.00;0.00
21:50:02;0.91;370.41;1055.27;0.01;977.69;0.00;0.00;0.00;0.00
22:00:00;1.19;258.62;1010.37;0.05;1381.71;0.00;0.00;0.00;0.00
Average:;22.86;404.78;824.14;0.05;846.25;0.00;0.00;0.00;0.00
